"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC","Mt BC/yr",0.395042945688622,0.312482834470733,0.146232502115821,0.205760659368568,0.115043827463975,0.110369139327317,0.11449011640261,0.111666005667909,0.110696111503536,0.102268244312312
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Agricultural Waste Burning","Mt BC/yr",0.007616779668,0.00792793395505372,0.00920982515463777,0.0114831892278015,0.0117488164665243,0.0123495587964982,0.0136336815402408,0.0144168496489302,0.0153321020286158,0.0161201361198554
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Energy Sector","Mt BC/yr",0.00550392804758848,0.00471546045634376,0.00278801227778972,0.00155686884138049,0.00102346857929878,7.24473092682219E-4,3.0661125246606E-4,2.0301909535192E-4,1.31883003632538E-4,1.85196895472473E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Forest Burning","Mt BC/yr",0.120481258543,0.0742853920288302,0.00212530034122487,0.0823305304363307,0.0010179311010729,0.00135045915374767,0.0087143934438758,0.00791841427351304,0.0102310211032256,0.00419210305011242
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Grassland Burning","Mt BC/yr",0.06984025105,0.0733794849100839,0.0741597721098627,0.0629981922838643,0.0606268626336636,0.0594708107518009,0.0571845151492915,0.0553338179270347,0.0518886637827841,0.0491269134420693
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Industrial Sector","Mt BC/yr",0.046023214160462,0.0284888779552947,9.80887317468892E-4,5.93769943372257E-4,3.67074210885963E-4,1.81616775577469E-4,7.13932332975531E-5,2.80614603980211E-5,2.70322798314737E-5,1.98639500013087E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Residential Commercial Other","Mt BC/yr",0.0498854637674277,0.0308111389343646,0.0131750947351523,0.00971184015148172,0.00656504855582293,0.00358494835898296,0.00204820047134937,0.00129483773116744,6.57652423644619E-4,3.91384770006452E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Transportation Sector","Mt BC/yr",0.0633058642624242,0.0604883600410417,0.011407423989965,0.00470008229461648,0.00130843972698676,3.21086208307417E-4,1.45135122368671E-4,8.48193417939582E-5,4.15706920815432E-5,1.31371010002573E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|BC|Waste","Mt BC/yr",0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204,0.0323861861897204
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4","Mt CH4/yr",20.5362478791126,20.5752366403767,17.5177073230399,17.9808374242429,16.364049694691,15.2983348884101,14.3465988058802,12.8726369029539,11.7832067496215,10.7407658240595
