"MODEL","SCENARIO","REGION","VARIABLE","UNIT",2015,2020,2030,2040,2050,2060,2070,2080,2090,2100
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Agricultural Waste Burning","Mt CH4/yr",0.05317423977,0.0556561859936763,0.0655238537378461,0.0829065115596303,0.0851813875981289,0.090324680854117,0.100583874998098,0.106976445326711,0.114378957342594,0.120734150404192
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Agriculture","Mt CH4/yr",13.3328503479945,13.4345279648361,12.6735719767764,12.5190393379697,11.7023074924263,11.1455846953758,10.610823673769,10.098723243922,9.63142444193363,9.17830587923527
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Energy Sector","Mt CH4/yr",2.12825933877778,2.56328526454248,1.74020105633032,2.28466869781306,2.51373050228677,2.27339766705737,2.02614743937347,1.30311486983188,0.744148051613699,0.267464904360021
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Forest Burning","Mt CH4/yr",1.122978299692,0.69239934320314,0.0198094703429692,0.767376899164637,0.00948777559168363,0.0125873109181134,0.081221722254644,0.0738053681871695,0.0953611598635081,0.0390727913779836
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Grassland Burning","Mt CH4/yr",0.4214133274,0.442770469390026,0.447477124762347,0.380134449043413,0.365822504867274,0.358842402400692,0.345052659256364,0.333883471273438,0.313096683037887,0.296430663283838
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Industrial Sector","Mt CH4/yr",0.0565410394634745,0.0580514845134919,0.0452824636623512,0.0390215883139782,0.0301086422783189,0.0190535257300039,0.0116589113073916,0.00674382178112864,0.00494894897565246,0.00376741494983435
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Residential Commercial Other","Mt CH4/yr",0.11404284118462,0.0691717678345168,0.0341519429265483,0.0293235902909198,0.0194399914080394,0.0123130469470147,0.00918346566504681,0.00817184709012508,0.00672974484041332,0.00552038196474314
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Transportation Sector","Mt CH4/yr",0.0204454831772133,0.0242053148273632,0.0141328529699336,0.00669382615195382,0.00201310504653417,5.88767083951829E-4,3.23842083489935E-4,2.3897319624666E-4,1.91111204912886E-4,1.69413702678866E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CH4|Waste","Mt CH4/yr",3.28654296165294,3.23516884523584,2.47755658153118,1.87167252393554,1.63595829318791,1.38564279204308,1.16160321717266,0.940978862345219,0.872927650809288,0.829300224781035
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO","Mt CO/yr",48.9079836432786,40.3156647406979,24.0962931535041,36.3253053385646,20.5314592216133,19.5075696746679,19.8176058845036,18.8612151997293,18.5075213601434,16.7733535652587
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2","Mt CO2/yr",530.001372235644,593.746543521646,341.264439142282,180.156517431344,50.7153674849077,-2.58037146438577,-71.6274678262234,-168.197795753004,-251.378462960566,-287.661581519008
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Energy Sector","Mt CO2/yr",96.6121381274345,85.2800026394181,33.4927971834721,9.06436409427541,-40.2750209640873,-59.1966474152393,-115.164124065232,-200.05452859588,-275.359575610608,-306.370185598731
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Industrial Sector","Mt CO2/yr",164.301387314194,176.064048558607,113.291695557649,66.4206991814286,35.6395796048298,19.1140726424959,9.52020652448077,3.47623491287231,-0.52270120382309,-3.82796502113341
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Residential Commercial Other","Mt CO2/yr",34.1592109529244,37.8868465551119,31.8144858631047,32.8336573102434,30.3859309320865,25.9668343472224,23.1525846050531,17.5261724591255,13.6500997543335,11.6828804016113
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Solvents Production and Application","Mt CO2/yr",1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516,1.54864097869516
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Transportation Sector","Mt CO2/yr",224.074954463939,283.661964391358,151.811779160904,60.984115468246,14.1111965349279,0.681687583984495,0.0101837323245724,6.44093727570905E-4,3.27223806397825E-5,7.3220943406227E-6
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO2|Waste","Mt CO2/yr",9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548,9.30504039845548
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Agricultural Waste Burning","Mt CO/yr",1.156636119,1.20388614695955,1.39854609696122,1.74376477054047,1.78410134013241,1.87532623463218,2.07032502435679,2.18925191008533,2.32823650215353,2.44790224069664
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Energy Sector","Mt CO/yr",1.95930718109997,1.95430856391602,1.94462195046199,1.95968611079938,1.97517829736832,1.9782454648437,1.99886258791311,2.03696697304522,2.07168290862814,2.0861026729064
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Forest Burning","Mt CO/yr",21.41999141697,13.2069044781135,0.377853297452202,14.6372104617387,0.180974678657706,0.240093938496084,1.54931834165518,1.40780426328804,1.81896036146444,0.745296782815059
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Grassland Burning","Mt CO/yr",11.86071553,12.4617317485149,12.5942232147092,10.6988995472234,10.2960368102291,10.0998169646635,9.71160837729555,9.39718058271346,8.81212479485545,8.34320900829994
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Industrial Sector","Mt CO/yr",4.36439055607139,4.53877969201238,4.1847772353952,4.4531558072573,4.04365313978716,3.26871330548426,2.49941499414794,1.86439639303276,1.53134290355423,1.22122510256805
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Residential Commercial Other","Mt CO/yr",1.65460712593893,0.966687450481095,0.448884192546567,0.340443376970765,0.195447550603622,0.106971870288925,0.0709847121713647,0.0572300845054488,0.0418923652360595,0.0287686707410841
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Transportation Sector","Mt CO/yr",4.59898944464541,4.09002039114742,1.25404089642484,0.598798994481613,0.162721135282088,0.045055626706395,0.0237455774107951,0.0150387235061573,0.00993525469866168,0.00750281767870872
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|CO|Waste","Mt CO/yr",1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288,1.89334626955288
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3","Mt NH3/yr",3.53815450194166,3.38632221148772,3.26096019586985,3.59983506408729,3.44267568033919,3.46458508532541,3.54262760214992,3.58941772464373,3.6792281251319,3.75452696694379
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Agricultural Waste Burning","Mt NH3/yr",0.01766504386,0.0183866825561202,0.0213596797172199,0.0266321271966317,0.0272481802625799,0.0286414356532652,0.0316196108778378,0.0334359528263231,0.0355586327300511,0.0373862608518722
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Agriculture","Mt NH3/yr",2.55641933204821,2.51134964234514,2.55873628742612,2.71400758143724,2.75960468542969,2.78121200751776,2.84198372410012,2.89196285744112,2.97966182516431,3.07250253564132
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Energy Sector","Mt NH3/yr",0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313,0.0847215382923313
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Forest Burning","Mt NH3/yr",0.295545386054,0.182222313372555,0.00521346397578482,0.201956984296851,0.00249701770677085,0.0033127599744613,0.0213761927368387,0.0194242706998424,0.0250974135576305,0.0102832578900172
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Grassland Burning","Mt NH3/yr",0.115215655,0.121054488234447,0.122341679771263,0.103929286177102,0.100016711960684,0.0981097972004638,0.0943389894556608,0.091285558696985,0.0856011687004541,0.0810458275811181
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Industrial Sector","Mt NH3/yr",0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607,0.137280723929607
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Residential Commercial Other","Mt NH3/yr",0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835,0.0464602772916835
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Transportation Sector","Mt NH3/yr",0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935,0.0107255206981935
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NH3|Waste","Mt NH3/yr",0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642,0.274121024767642
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx","Mt NOx/yr",4.45899606694194,4.1397520335475,2.33532440741642,2.46006267827895,1.75408268791961,1.5991722207374,1.60927910169184,1.60740369927068,1.66188579104422,1.66097372108139
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Agricultural Waste Burning","Mt NOx/yr",0.0497887665999999,0.0518226981218776,0.060202062166256,0.0750624088071155,0.0767987450572314,0.0807256241798353,0.0891195792851389,0.0942389248320804,0.10022168191902,0.105372836734792
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Agriculture","Mt NOx/yr",0.210900162172592,0.20668804712419,0.221887048153599,0.26009855508587,0.264346515052004,0.28703973779617,0.331103169783307,0.370468083371358,0.42838766856146,0.487575753291109
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Energy Sector","Mt NOx/yr",0.552328837684896,0.427104473517641,0.148816744296539,0.204085599715978,0.168636841015033,0.115239187796088,0.123740561722552,0.155821713499438,0.206528240034488,0.232615568828374
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Forest Burning","Mt NOx/yr",0.65077981934,0.401250619908807,0.0114795878611123,0.444706164343871,0.00549822079263285,0.00729445121567787,0.047069577411459,0.0427714592536586,0.0552624664125706,0.0226428270395807
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Grassland Burning","Mt NOx/yr",0.6557744468,0.689005643396396,0.696339134997333,0.591537504145937,0.56927201994933,0.558411788842821,0.536947369407637,0.519564843031618,0.487219470428628,0.461293171106677
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Industrial Sector","Mt NOx/yr",0.559572214212776,0.543887510337933,0.353111224899386,0.346238146526489,0.285656947195724,0.212078491645201,0.15215204092693,0.104968193927594,0.0751279587257524,0.0513659327202572
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Residential Commercial Other","Mt NOx/yr",0.0631951113481776,0.0580356565632076,0.0427882512559992,0.042898884137234,0.041193837894865,0.0389649397509616,0.0373245670881981,0.0303477155337156,0.0217204183092868,0.0138802312193534
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Transportation Sector","Mt NOx/yr",1.43092750508711,1.47622818088106,0.514971150089807,0.209706211820067,0.0569503572664074,0.0136887958142673,0.00609303237023812,0.00349356212484029,0.00168868295663485,4.98196444866728E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|NOx|Waste","Mt NOx/yr",0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385,0.285729203696385
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC","Mt OC/yr",2.2008035273707,1.73699815718282,0.924414496554384,1.5270988629123,0.754654234262045,0.725194677102815,0.768740759929653,0.746225107033947,0.744100806673738,0.673837840389173
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Agricultural Waste Burning","Mt OC/yr",0.03846867787,0.0400401708432031,0.046514385767734,0.0579960498582287,0.0593376090295562,0.0623716618664876,0.0688571517078725,0.0728125467419927,0.0774350460767399,0.0814150267536048
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Energy Sector","Mt OC/yr",0.010654927669995099,0.0102933514433481,0.00625223495193841,0.00305923030891933,0.00156933829330271,9.2011114395541E-4,4.76601951745542E-4,2.91875214315951E-4,1.93953805137426E-4,8.55665493872948E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Forest Burning","Mt OC/yr",1.069764132437,0.659582079035172,0.0188707425424166,0.731026495961231,0.00903817168489426,0.0119909240927184,0.0773760910771228,0.0703087238540932,0.0908431429164966,0.0372215285448359
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Grassland Burning","Mt OC/yr",0.5009324127,0.526315767113498,0.531912219612726,0.451862152974912,0.434860202305193,0.426561055320078,0.410162900153493,0.39688888467907,0.372173142338514,0.352374703238025
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Industrial Sector","Mt OC/yr",0.244967519005798,0.209500128929038,0.0937292796053586,0.0622370078805993,0.035149024942271,0.014152545232243,0.00567419762566989,0.00131243094553655,1.65220591216825E-4,1.13222527179616E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Residential Commercial Other","Mt OC/yr",0.101719795647315,0.0577485884299023,0.0223001108429378,0.0172405328608108,0.0120792006518837,0.00699461015047313,0.00407081471338969,0.00250851575179173,0.00121679063375457,6.71066838086958E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Transportation Sector","Mt OC/yr",0.0323135753899071,0.0315355847379758,0.00285303658058976,0.00169490641691695,6.38200704260958E-4,2.21282646176327E-4,1.40516049676655E-4,1.19643196463585E-4,9.10236611962318E-5,7.61395618319511E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|OC|Waste","Mt OC/yr",0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682,0.201982486650682
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur","Mt SO2/yr",1.89946684352103,1.68342814163994,0.784723535112702,0.667800362117042,0.440153360067298,0.344334933754965,0.277954627203189,0.221925171911537,0.186347783566102,0.150857902060098
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Agricultural Waste Burning","Mt SO2/yr",0.00638151943399999,0.00664221213407793,0.00771621061256654,0.00962088912981559,0.00984343869920756,0.0103467543540211,0.0114226238077438,0.0120787797269226,0.0128456005748821,0.0135058329205486
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Energy Sector","Mt SO2/yr",0.375403725971502,0.231820936709486,0.0702063764846534,0.0311274684006197,0.0121834501327752,0.00500774508158159,0.00343449108433231,0.00199814033089206,0.00118118363362737,5.99386991409119E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Forest Burning","Mt SO2/yr",0.098854936482,0.0609505323553883,0.00174378947912381,0.0675510356537045,8.35202092646341E-4,0.0011080532611776,0.0071502227612525,0.00649704885546282,0.00839464244663073,0.00343955880096999
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Grassland Burning","Mt SO2/yr",0.08249856087,0.0866790305794277,0.0876003728670196,0.0744164221665762,0.0716155847609145,0.0702488721871903,0.0675494887139751,0.0653623757681012,0.0612930883142027,0.0580312218499455
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Industrial Sector","Mt SO2/yr",0.995855538381676,1.0041533157293,0.562577837821594,0.443564738453441,0.311320343206012,0.225544443346617,0.15647847202808501,0.104531466662884,0.0724468151703477,0.0464682812727988
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Residential Commercial Other","Mt SO2/yr",0.0735188410157792,0.0501729974714513,0.0121795063292477,0.00883439139981628,0.00698983648940535,0.00646741150885428,0.00664160254346643,0.00626759709486259,0.00506987074756537,0.00374356169461778
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Transportation Sector","Mt SO2/yr",0.242041270450906,0.218096665740806,0.0177869905984971,0.00777296599306951,0.00245305376633626,6.99203095522415E-4,3.65275344333657E-4,2.7731255241196E-4,2.04131758846658E-4,1.5760760980865E-4
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|Sulfur|Waste","Mt SO2/yr",0.0249124509151696,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999,0.0249124509199999
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC","Mt VOC/yr",11.2403167922211,8.55919124347643,3.94470419073923,6.20454906669883,3.24190233947433,3.09724193143642,3.30006159361607,3.29166943758818,3.35274416767455,3.14562942296081
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Agricultural Waste Burning","Mt VOC/yr",0.2299817987,0.239376844248485,0.278082380806713,0.346724552333557,0.354744936552139,0.372883793292521,0.411656769915154,0.435303777079814,0.462939041496865,0.486732973720522
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Energy Sector","Mt VOC/yr",2.31519206069386,1.38156810332729,0.153048590595856,0.124064063362058,0.130997295463862,0.134735861729316,0.189270226351252,0.281433137003961,0.372813863260033,0.45661977042892
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Forest Burning","Mt VOC/yr",4.05604951305,2.50084897167926,0.0715483264525466,2.77166709551548,0.0342675069155414,0.0454631757555676,0.2933668206909,0.266572634736055,0.344425533436238,0.141125828460869
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Grassland Burning","Mt VOC/yr",2.19030439099999,2.30131536053217,2.32579938053474,1.97573356203942,1.90138694209946,1.86509480857621,1.79338958437731,1.73533920074056,1.62733893356503,1.54070860145869
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Industrial Sector","Mt VOC/yr",0.855307806544997,0.73785569976255,0.309780296224316,0.298956840936331,0.249287661800142,0.166785201294359,0.123890524978935,0.0935445907516444,0.072375483812489,0.0531065938156235
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Residential Commercial Other","Mt VOC/yr",0.26844076793243,0.154983331978087,0.0705585010909357,0.0512549227574427,0.0272883209994402,0.0131896576741477,0.00749476139087488,0.00551968021318316,0.00366445700637996,0.00218223896808922
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Solvents Production and Application","Mt VOC/yr",0.0675399345255924,0.0877546203011487,0.0900265389745157,0.0919980633195792,0.0694804792032426,0.0396694641227768,0.022826244627099,0.0168336061281148,0.0125050850163761,0.0086085505472065
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Transportation Sector","Mt VOC/yr",0.800981934493955,0.698969726367078,0.189341590779244,0.0876313811545982,0.0179306111601385,0.00290138371115597,0.00164807600417631,6.04225654487523E-4,1.63184800770642E-4,2.62802805340427E-5
"IMAGE","SSP1-19","BRA","CMIP6 Emissions|VOC|Waste","Mt VOC/yr",0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036,0.45651858528036
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC","Mt BC/yr",0.0873459891279219,0.0743777155045663,0.0539355927621848,0.0457317637002875,0.0382295773004603,0.0315121575590555,0.0256738267672238,0.0195421579504439,0.0130934322199681,0.00671651434146488
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Agricultural Waste Burning","Mt BC/yr",0.001056394778,0.00108977811662524,0.00109086307867577,0.00107415922674506,0.00105328099105995,9.71397489602494E-4,9.02802066015525E-4,8.3538081476175E-4,7.57466461841912E-4,6.92436871229942E-4
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Energy Sector","Mt BC/yr",0.00158353631126332,0.00134095469326975,6.92245902241596E-4,4.39561969223563E-4,2.78938249706446E-4,1.19297353860171E-4,1.04184998242818E-4,8.47374711833928E-5,7.97927263272014E-5,5.44938608196162E-5
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Forest Burning","Mt BC/yr",0.046849392796,0.0440935461609411,0.0385818528908235,0.0330701596207058,0.0275584663505882,0.0220467730804705,0.0165350798103529,0.0110233865402353,0.00551169327011764,0.0
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Grassland Burning","Mt BC/yr",5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5,5.2605635E-5
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Industrial Sector","Mt BC/yr",0.00970637674418449,0.00415273360303869,8.42063493714804E-5,6.14213357633372E-5,6.95673418757014E-5,7.24903565946118E-5,1.02484803980975E-4,1.21393997687846E-4,1.02284597232938E-4,4.69267615699209E-5
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Peat Burning","Mt BC/yr",0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836,0.005026490836
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Residential Commercial Other","Mt BC/yr",0.0104607533800978,0.00943687837415719,0.00658808307755877,0.00543912439863572,0.00402682843511105,0.00311679871079117,0.00285586581722148,0.00230601739480648,0.00147335675580849,7.57316511676071E-4
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Transportation Sector","Mt BC/yr",0.0125298029066357,0.0091040923447937,0.00173860925177314,4.87604937473343E-4,8.27637203783302E-5,2.56683559959147E-5,1.367705966951E-5,1.15095200285996E-5,9.10619689936917E-6,5.60812442873474E-6
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|BC|Waste","Mt BC/yr",8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5,8.06357407405955E-5
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4","Mt CH4/yr",5.09826989872277,4.51319615165105,2.55707005768944,1.89707481280544,1.57691953401286,1.40154785434282,1.3331281922117,1.26247901360435,1.10622400453267,0.924483324069194
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Agricultural Waste Burning","Mt CH4/yr",0.008651275287,0.00893107410108913,0.00895059527722789,0.00882289505961543,0.00865921995170763,0.00798931557807781,0.00742807602308559,0.00687593904891346,0.00623688240842193,0.00570340060219004
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Agriculture","Mt CH4/yr",0.997660111080084,0.980544671506058,0.756504637102389,0.614721069122569,0.509152320242859,0.489818974711826,0.4683929371779,0.445099249482155,0.404440619051456,0.36923585832119
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Energy Sector","Mt CH4/yr",2.29322448342491,1.77094095042682,0.652560891995474,0.410031295950597,0.25866600118391,0.153254764956174,0.149912068765928,0.158923298120499,0.130031496286392,0.0781423673033714
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Forest Burning","Mt CH4/yr",0.66938862756,0.630012825938823,0.55126122269647,0.472509619454117,0.393758016211764,0.315006412969411,0.236254809727058,0.157503206484705,0.0787516032423529,0.0
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Grassland Burning","Mt CH4/yr",3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4,3.26911905E-4
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Industrial Sector","Mt CH4/yr",0.00692081587972115,0.00682681861338074,0.00496678466797106,0.0039049126929593,0.00305537327453189,0.00251706752079198,0.0021529347564464,0.00181508155989178,0.00157267834055562,0.0013098416213554
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Peat Burning","Mt CH4/yr",0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912,0.0852352912
"IMAGE","SSP1-19","CAN","CMIP6 Emissions|CH4|Residential Commercial Other","Mt CH4/yr",0.0760786754458341,0.0786480825870543,0.05954062608898,0.0557013131711251,0.0460074359893749,0.0443709860778376,0.0522869188570528,0.0534546057171079,0.044963058500511,0.0373954211403528
